Date,Core_REAL_SGOV_2020,Core_PROXY_BIL_2015,SPY_BuyHold_2015,VTI_BuyHold_2015
2015-01-02,,0.0,0.0,0.0
2015-01-05,,-0.01703390657846493,-0.01805968099732813,-0.017183060267379036
2015-01-06,,-0.025866226962770855,-0.02730841394593808,-0.02681312892003984
2015-01-07,,-0.014114795646811396,-0.015187395884821986,-0.015200419516044894
2015-01-08,,0.0,0.0,0.0
2015-01-09,,-0.006766786748536591,-0.00801355189613806,-0.008290306361287803
2015-01-12,,-0.012411401039069347,-0.015784504806341526,-0.015355774398807087
2015-01-13,,-0.012198699511919764,-0.018552603084434516,-0.017616380879726723
2015-01-14,,-0.016545816822448378,-0.024477888681875948,-0.022986805832480806
2015-01-15,,-0.02146411020212491,-0.033414050517144855,-0.03287809698840094
2015-01-16,,-0.010078912552574537,-0.020738141643444896,-0.020066230906600424
2015-01-20,,-0.008626824341061656,-0.018649785857848378,-0.01865318931289761
2015-01-21,,-0.0020238826851062264,-0.013695970046944894,-0.014225341123844881
2015-01-22,,0.0,0.0,0.0
2015-01-23,,-0.00495728010176999,-0.005482816191244577,-0.004518414742500809
2015-01-26,,0.0,-0.0031537658657165846,-0.0003763829691947329
2015-01-27,,-0.007790895380678564,-0.0163027264782859,-0.012049365853168403
2015-01-28,,-0.020172493958700577,-0.02891787934121104,-0.025416635157045286
2015-01-29,,-0.011440630894038906,-0.019941755861850208,-0.01609723691588416
2015-01-30,,-0.025960803726000403,-0.0322656433339964,-0.02946467946853848
2015-02-02,,-0.01464639376046073,-0.02028165488448408,-0.01854428927417684
2015-02-03,,-0.0004075925107017708,-0.00611344420430604,-0.0034831666723404986
2015-02-04,,-0.004794463019015982,-0.009898106283259711,-0.006966160095903562
2015-02-05,,0.0,0.0,0.0
2015-02-06,,-0.00603919675289788,-0.0027654117219452212,-0.003000586553582707
2015-02-09,,-0.010261511916101806,-0.007228812701013387,-0.0079703296037682
2015-02-10,,-0.0022900196851277643,0.0,0.0
2015-02-11,,-0.003548040081098436,0.0,0.0
2015-02-12,,0.0,0.0,0.0
2015-02-13,,0.0,0.0,0.0
2015-02-17,,0.0,0.0,0.0
2015-02-18,,0.0,0.0,0.0
2015-02-19,,-0.00039005057083163486,-0.0007141981540805808,-0.00027572470433256946
2015-02-20,,0.0,0.0,0.0
2015-02-23,,-0.0018332285879949506,-0.0001416529803778266,-9.178531532638701e-05
2015-02-24,,0.0,0.0,0.0
2015-02-25,,-0.00035497858372057767,-0.0008502399792338355,-0.00036507638162530665
2015-02-26,,-0.001405499221583617,-0.0020306068994530024,-0.0010043171437433829
2015-02-27,,-0.003427388437431733,-0.005429479057077469,-0.00456551331377697
2015-03-02,,0.0,0.0,0.0
2015-03-03,,-0.004683058687802277,-0.004104005573061897,-0.0041021495471680325
2015-03-04,,-0.009309118637247038,-0.008302575889727826,-0.00811377965874771
2015-03-05,,-0.007857138759835625,-0.007217514989772189,-0.006563539945832586
2015-03-06,,-0.020958158934123228,-0.021180503496418424,-0.02032996054057301
2015-03-09,,-0.0189152654378556,-0.017123780295158486,-0.016683260498325025
2015-03-10,,-0.03464315857289768,-0.03306767419838352,-0.031634906844678734
2015-03-11,,-0.033846664945083704,-0.03533201307740019,-0.03236392806364241
2015-03-12,,-0.023184155336609003,-0.02306727873001635,-0.020238686077255097
2015-03-13,,-0.029028858668025515,-0.029057972620551653,-0.025708442518732277
2015-03-16,,-0.017918107363123825,-0.016085827934755548,-0.013492429420846719
2015-03-17,,-0.018732100417844788,-0.01901038169650715,-0.015407095851273644
2015-03-18,,-0.0048867562932276565,-0.007217514989772189,-0.0041021495471680325
2015-03-19,,-0.011380951634610281,-0.011746192747805528,-0.007657742910037846
2015-03-20,,-0.0005270604670088996,-0.0030226820664656096,0.0
2015-03-23,,-0.00038311720204298183,-0.004965431284329136,-0.001731263619553447
2015-03-24,,-0.0035448967752145233,-0.010556484833788127,-0.00701576766157197
2015-03-25,,-0.016239830912360365,-0.025056093493936893,-0.0225034927090747
2015-03-26,,-0.019704917563814206,-0.027377362434590213,-0.02442523724599488
2015-03-27,,-0.0173397294611618,-0.025150571321416293,-0.021770744813922382
2015-03-30,,-0.007297602996698682,-0.0132573164907267,-0.009322330601094886
2015-03-31,,-0.015957857618834947,-0.021881047460984404,-0.018292707464907076
2015-04-01,,-0.014381693945853646,-0.02534022230537203,-0.02012340346474073
2015-04-02,,-0.00930578115832359,-0.021833678173057813,-0.01701123703270979
2015-04-06,,-0.001771246990412867,-0.015247521912641449,-0.010237678601011657
2015-04-07,,-0.004095736155430241,-0.01785352807760221,-0.013533032006830648
2015-04-08,,0.0,-0.014536895677617734,-0.009322330601094886
2015-04-09,,0.0,-0.01017761744649992,-0.005844209413647494
2015-04-10,,0.0,-0.004776041048747404,-0.001175917846385266
2015-04-13,,-0.003967311431704701,-0.00927742714364499,-0.005111796872223073
2015-04-14,,-0.0011734849937622416,-0.007382134129832685,-0.003647055627805762
2015-04-15,,0.0,-0.0029282911551109514,0.0
2015-04-16,,0.0,-0.003212593798795238,-0.0004570400365898619
2015-04-17,,-0.012001259557619881,-0.014679003541397617,-0.012065723010295626
2015-04-20,,-0.00693217246977007,-0.005675970603228331,-0.004021684410631554
2015-04-21,,-0.004514177452358492,-0.0068608112142660715,-0.004296293555166253
2015-04-22,,-0.0002112918444820977,-0.0019804708159556483,-9.134102947805367e-05
2015-04-23,,0.0,0.0,0.0
2015-04-24,,0.0,0.0,0.0
2015-04-27,,-0.0019872607052989766,-0.004157853883858809,-0.005188862522491622
2015-04-28,,0.0,-0.0009920122473559,-0.002548739387895682
2015-04-29,,-0.005735700697117818,-0.005102458242056573,-0.006918149845998478
2015-04-30,,-0.015978975712613308,-0.015072068658410487,-0.017660409325811366
2015-05-01,,-0.007968783887820963,-0.004393766633928986,-0.008648104204152518
2015-05-04,,-0.005063802176493604,-0.0015591735392216366,-0.005188862522491622
2015-05-05,,-0.016734452642523268,-0.012993055047579638,-0.01702305772017565
2015-05-06,,-0.019376354822606356,-0.01705643982872851,-0.01975423108414809
2015-05-07,,-0.017892930043193478,-0.013134845370545989,-0.016021588576364598
2015-05-08,,-0.004088851877372068,-0.00014170365406496188,-0.0036413421404141166
2015-05-11,,-0.009580034075853061,-0.004913520036636698,-0.007828902277756566
2015-05-12,,-0.01167949740583829,-0.007890423467719843,-0.01074175920382725
2015-05-13,,-0.009571927250334511,-0.007701138586693745,-0.010195457827568255
2015-05-14,,0.0,0.0,-0.00036395077951334454
2015-05-15,,0.0,0.0,0.0
2015-05-18,,0.0,0.0,0.0
2015-05-19,,-0.0008465688706752461,-0.0003282198861481733,-0.00045285637331426987
2015-05-20,,-0.0009876228670642195,-0.0010321753618682816,-0.0010870710999446587
2015-05-21,,0.0,0.0,0.0
2015-05-22,,-0.0022299562635363923,-0.0023884321492468885,-0.00190038608611387
2015-05-26,,-0.013849187069891356,-0.013114424793298607,-0.012306883385881484
2015-05-27,,-0.006158998936417137,-0.0037467084846347642,-0.003257816559242732
2015-05-28,,-0.008634468244198445,-0.004871030334523074,-0.0041625491911072565
2015-05-29,,-0.015950091277394107,-0.011053425822251661,-0.010858946497032895
2015-06-01,,-0.014985661392445837,-0.009039853540883436,-0.00841560479793424
2015-06-02,,-0.014373997555822915,-0.010023098172560196,-0.009139739005024516
2015-06-03,,-0.011514652231488176,-0.00740011011240127,-0.005700909614342442
2015-06-04,,-0.020393018091489745,-0.015784152199807888,-0.013664396740343476
2015-06-05,,-0.0236238238440587,-0.01747046313880829,-0.014478622956488274
2015-06-08,,-0.027690786910501308,-0.02351255466956992,-0.02054147535237638
2015-06-09,,-0.030061125043378323,-0.023653202298201004,-0.021356033093853255
2015-06-10,,-0.016933400335619853,-0.011943793186640406,-0.009411175370850455
2015-06-11,,-0.014963593224099903,-0.008758644201537269,-0.006605973771539153
2015-06-12,,-0.02069064860622505,-0.01634614128891998,-0.013121192483359523
2015-06-15,,-0.025812863610675252,-0.020561532005798355,-0.01764576733734524
2015-06-16,,-0.02226400510495663,-0.015222334946528027,-0.012216211207495942
2015-06-17,,-0.021149196778048385,-0.013629846371892573,-0.010587593012540086
2015-06-18,,-0.012212973410244854,-0.003372106370504002,-0.0008148063854763743
2015-06-19,,-0.01629043311080325,-0.007796363541385243,-0.005157871120024415
2015-06-22,,-0.007647961914381551,-0.0027130300362160353,0.0
2015-06-23,,-0.005385804712368825,-0.0020072143555777133,0.0
2015-06-24,,-0.01237751728885128,-0.009255679346088952,-0.007586631414047806
2015-06-25,,-0.014703000327235483,-0.01226761781236485,-0.010657599879686175
2015-06-26,,-0.01617462068734532,-0.012455863966507108,-0.01121971045059933
2015-06-29,,-0.037566700146966614,-0.0331647451983913,-0.03190066418389459
2015-06-30,,-0.03492281934592445,-0.031141206438757285,-0.029270449967237377
2015-07-01,,-0.029614034856476068,-0.023375429675498216,-0.022920875429927934
2015-07-02,,-0.029453341321671767,-0.02426923375653056,-0.02419093924085225
2015-07-06,,-0.037921724112909394,-0.027046272640230073,-0.026730818690263503
2015-07-07,,-0.03607640768434539,-0.020927628246236507,-0.021378897351661097
2015-07-08,,-0.05461844166118435,-0.037354188704612046,-0.03770591384164412
2015-07-09,,-0.048388483820501316,-0.03561254662765301,-0.035710690168376025
2015-07-10,,-0.03245633154262306,-0.0234695097936114,-0.02400935974075602
2015-07-13,,-0.02403624460653353,-0.012691193138663848,-0.012943268028962618
2015-07-14,,-0.019573695169402106,-0.008408528693490847,-0.008499078742550181
2015-07-15,,-0.022365310238234848,-0.008737680230012534,-0.009768480760307896
2015-07-16,,-0.015185676367784562,-0.0007838291484433269,-0.0028749949641678763
2015-07-17,,-0.01532936293881948,0.0,-0.0026032461451170885
2015-07-20,,-0.015427941808457968,0.0,-0.0025123323088501737
2015-07-21,,-0.018687013999206692,-0.003951387042727128,-0.006866269552162296
2015-07-22,,-0.022598318884649582,-0.005738815008074938,-0.008317581966599819
2015-07-23,,-0.02764032277039341,-0.011336548917616818,-0.014032083236373727
2015-07-24,,-0.037646537157058235,-0.02159098949456717,-0.024372270568511212
2015-07-27,,-0.04503186138656634,-0.02728266297915194,-0.03081251076964986
2015-07-28,,-0.03444658550447299,-0.015334562275927444,-0.019293008014563573
2015-07-29,,-0.028665898535181755,-0.008561209790598934,-0.012580439925353293
2015-07-30,,-0.02882766434436368,-0.008325845645084984,-0.011764448950888462
2015-07-31,,-0.027729899016348925,-0.009831454885304347,-0.012761936701303656
2015-08-03,,-0.032069340484169206,-0.013170774934517016,-0.016299469349421947
2015-08-04,,-0.03261976529532673,-0.015099541602351496,-0.017932195815663965
2015-08-05,,-0.0294084984155063,-0.011853731788259214,-0.014666908331471551
2015-08-06,,-0.03604344367587187,-0.01994447089178364,-0.022739709550560816
2015-08-07,,-0.03811046577874455,-0.021825924300158617,-0.0255514205431685
2015-08-10,,-0.026443487050568315,-0.009501721824825227,-0.013396844520547235
2015-08-11,,-0.03724417230348964,-0.018439290991486668,-0.022285967610684243
2015-08-12,,-0.03931772102637099,-0.017263414811746425,-0.021288314411977538
2015-08-13,,-0.04039202230433747,-0.01848660425094606,-0.022649126610877035
2015-08-14,,-0.03744706887108118,-0.014911147244358935,-0.01892968356607927
2015-08-17,,-0.034846293954926444,-0.009408039853735839,-0.012671188313328474
2015-08-18,,-0.039003223829277234,-0.012276975083858721,-0.015211233211031239
2015-08-19,,-0.047315955454836356,-0.02008589546225481,-0.02400935974075602
2015-08-20,,-0.06682581956633071,-0.040547463356696234,-0.04523463835361108
2015-08-21,,-0.09164887593866478,-0.06942941754715692,-0.07271824677092509
2015-08-24,,-0.12541719071170032,-0.10861303970604297,-0.10999829670983752
2015-08-25,,-0.12922341143318272,-0.11910258682455377,-0.12061089465419206
2015-08-26,,-0.10166841230762447,-0.08528150616566466,-0.08868251788144466
2015-08-27,,-0.0820823191944614,-0.06265572158989041,-0.06664108284583325
2015-08-28,,-0.08333868218859297,-0.06260892353833791,-0.06591517846617712
2015-08-31,,-0.08931557755294428,-0.07018196456331316,-0.07289974354687567
2015-09-01,,-0.11583151410227366,-0.0979347547576015,-0.10011160314513912
2015-09-02,,-0.10114534005543074,-0.08081285038431063,-0.083149513387621
2015-09-03,,-0.0998366014054517,-0.08015475815110418,-0.08206094635264705
2015-09-04,,-0.11474643458157807,-0.09407799423379304,-0.09512242718600017
2015-09-08,,-0.09247757055084516,-0.07131087095553201,-0.07226458755519471
2015-09-09,,-0.10163004395479358,-0.0837293564778463,-0.08496357118152176
2015-09-10,,-0.09686387793732154,-0.07874308848592759,-0.08024697128289204
2015-09-11,,-0.09396555624065006,-0.07455668076962452,-0.07607436536723877
2015-09-14,,-0.09755557020381089,-0.07799062733775586,-0.07961189801535684
2015-09-15,,-0.08806102513962089,-0.06646594166609987,-0.068001812320587
2015-09-16,,-0.0785037590034936,-0.05837546016652895,-0.060110094256719204
2015-09-17,,-0.07920170821439554,-0.060492105984448985,-0.06137990989520603
2015-09-18,,-0.09516645495214393,-0.07584487227309045,-0.07625569669489751
2015-09-21,,-0.09262270896582625,-0.07106906671118052,-0.07253674999497473
2015-09-22,,-0.1063897591327585,-0.08312682083061118,-0.08496357118152176
2015-09-23,,-0.10962241496257419,-0.08459215798610031,-0.08677738080298525
