,start_date,end_date,start_value,end_value,total_return,CAGR,max_drawdown,annualized_vol,sharpe_simple,years
REAL_LumpSum_SGOV_2020,2020-06-01 00:00:00,2026-06-10 00:00:00,50000.0,114783.25980020547,1.2956651960041095,0.14793955758607868,-0.25048552175565664,0.1571057308634345,0.9416560221770421,6.023271731690623
REAL_40_6_DCA_SGOV_2020,2020-06-01 00:00:00,2026-06-10 00:00:00,50000.0,108023.58070660874,1.1604716141321747,0.13642993508868995,-0.24990523788129693,0.15158485406378647,0.9000235276228892,6.023271731690623
PROXY_LumpSum_BIL_2015,2015-01-02 00:00:00,2026-06-10 00:00:00,50000.0,169821.53978283983,2.3964307956567965,0.1128440265271966,-0.33110648559566136,0.1666968580053745,0.6769415325366143,11.436002737850787
PROXY_40_6_DCA_BIL_2015,2015-01-02 00:00:00,2026-06-10 00:00:00,50000.0,166598.04979715488,2.3319609959430974,0.1109807189660812,-0.33092618111478067,0.1656252397595501,0.6700712954571403,11.436002737850787
