Date,BIL,GLD,IWM,QQQ,SGOV,SPY,TLT,VEA,VTI,VWO,XLE,XLF,XLK,XLV
2015-01-02,73.69434356689453,114.08000183105469,102.78697204589844,94.6650619506836,,170.12498474121094,93.00151062011719,26.92558479309082,87.81742858886719,28.644439697265625,25.548067092895508,16.27479362487793,18.084274291992188,57.05784225463867
2015-01-05,73.71051025390625,115.80000305175781,101.41280364990234,93.2764892578125,,167.05258178710938,94.46237182617188,26.325498580932617,86.30845642089844,28.188264846801758,24.491182327270508,15.932579040527344,17.80821990966797,56.76686477661133
2015-01-06,73.69434356689453,117.12000274658203,99.65834045410156,92.02577209472656,,165.47914123535156,96.1643295288086,26.032594680786133,85.4627685546875,28.050697326660156,24.131404876708984,15.689081192016602,17.593496322631836,56.57563400268555
2015-01-07,73.69434356689453,116.43000030517578,100.88558197021484,93.21208190917969,,167.54122924804688,95.97439575195312,26.311214447021484,86.4825668334961,28.69512367248535,24.182796478271484,15.853605270385742,17.74248695373535,57.90584182739258
2015-01-08,73.69434356689453,115.94000244140625,102.59684753417969,94.9961166381836,,170.51422119140625,94.7034912109375,26.711280822753906,88.00811767578125,29.180252075195312,24.725698471069336,16.09052085876465,18.132478713989258,58.895206451416016
2015-01-09,73.69434356689453,117.26000213623047,101.61156463623047,94.37079620361328,,169.14779663085938,95.74070739746094,26.582685470581055,87.27850341796875,29.03543472290039,24.529727935791016,15.873346328735352,18.07551383972168,58.371421813964844
2015-01-12,73.69434356689453,118.55999755859375,101.27450561523438,93.38679504394531,,167.82273864746094,96.28853607177734,26.554101943969727,86.65668487548828,28.774770736694336,23.82302474975586,15.741730690002441,17.865182876586914,58.396366119384766
2015-01-13,73.69434356689453,118.16000366210938,101.35228729248047,93.35921478271484,,167.35073852539062,96.28853607177734,26.682701110839844,86.45773315429688,28.977506637573242,23.63348388671875,15.689081192016602,17.85203742980957,58.138633728027344
2015-01-14,73.69434356689453,117.97000122070312,100.94609832763672,92.84424591064453,,166.34039306640625,97.01898956298828,26.611255645751953,85.98509216308594,28.8689022064209,23.707372665405273,15.465327262878418,17.751249313354492,58.047176361083984
2015-01-15,73.69434356689453,120.94000244140625,99.24353790283203,91.63956451416016,,164.816650390625,98.54569244384766,26.76127815246582,85.11457824707031,28.955787658691406,23.405406951904297,15.274483680725098,17.523393630981445,57.423641204833984
