target_date,trade_date,amount,type,cash_after_trade
2020-06-01,2020-06-01,20000.0,initial_40pct,30000.0
2020-07-01,2020-07-01,5000.0,month_1_dca,25000.0
2020-08-01,2020-08-03,5000.0,month_2_dca,20000.0
2020-09-01,2020-09-01,5000.0,month_3_dca,15000.0
2020-10-01,2020-10-01,5000.0,month_4_dca,10000.0
2020-11-01,2020-11-02,5000.0,month_5_dca,5000.0
2020-12-01,2020-12-01,5000.0,month_6_dca,0.0
