,start_date,end_date,start_value,end_value,total_return,CAGR,max_drawdown,annualized_vol,sharpe_simple,years,test_start_date
2021-09-01_LumpSum,2021-09-01 00:00:00,2026-06-10 00:00:00,50000.0,77513.45944788927,0.5502691889577853,0.09622647440722498,-0.2460444011216314,0.15601420194234533,0.6167802239105465,4.772073921971253,2021-09-01
2021-09-01_FixedDCA,2021-09-01 00:00:00,2026-06-10 00:00:00,50000.0,78442.63587100255,0.5688527174200511,0.09896720547370186,-0.23392831167930173,0.1527621992341232,0.6478514054515856,4.772073921971253,2021-09-01
2021-09-01_SmartDCA,2021-09-01 00:00:00,2026-06-10 00:00:00,50000.0,78717.54344090445,0.5743508688180892,0.09977316158720173,-0.23135033207816835,0.15341225614190243,0.6503597828253963,4.772073921971253,2021-09-01
2021-11-01_LumpSum,2021-11-01 00:00:00,2026-06-10 00:00:00,50000.0,76541.07445925183,0.5308214891850367,0.09687407736763354,-0.24606897378904813,0.1570771653609438,0.6167292180568,4.605065023956194,2021-11-01
2021-11-01_FixedDCA,2021-11-01 00:00:00,2026-06-10 00:00:00,50000.0,79051.96988632917,0.5810393977265833,0.1045893286857289,-0.21877914942299403,0.15182350927054758,0.688887572077866,4.605065023956194,2021-11-01
2021-11-01_SmartDCA,2021-11-01 00:00:00,2026-06-10 00:00:00,50000.0,78845.59053042924,0.5769118106085849,0.10396247974991146,-0.22088963709173193,0.1546010202644824,0.6724566213861882,4.605065023956194,2021-11-01
2022-01-03_LumpSum,2022-01-03 00:00:00,2026-06-10 00:00:00,50000.0,75569.78478301202,0.5113956956602403,0.09766070315598463,-0.2443314586319274,0.15758385365101724,0.6197380054701702,4.432580424366872,2022-01-03
2022-01-03_FixedDCA,2022-01-03 00:00:00,2026-06-10 00:00:00,50000.0,81246.2640754602,0.6249252815092041,0.11574380171297771,-0.1897301975853286,0.14892450631343143,0.7771978204136496,4.432580424366872,2022-01-03
2022-01-03_SmartDCA,2022-01-03 00:00:00,2026-06-10 00:00:00,50000.0,79858.70092555779,0.5971740185111558,0.11141618473076376,-0.21463404341546577,0.15548310957136752,0.7165806307702071,4.432580424366872,2022-01-03
2022-03-01_LumpSum,2022-03-01 00:00:00,2026-06-10 00:00:00,50000.0,83223.267250442,0.66446534500884,0.1265273618920475,-0.21521687849035964,0.15775940970756605,0.8020273537191064,4.276522929500342,2022-03-01
2022-03-01_FixedDCA,2022-03-01 00:00:00,2026-06-10 00:00:00,50000.0,86111.68633272144,0.7222337266544288,0.13555076188233128,-0.1637097714813025,0.14633286389892455,0.9263179730833347,4.276522929500342,2022-03-01
2022-03-01_SmartDCA,2022-03-01 00:00:00,2026-06-10 00:00:00,50000.0,84704.76679419566,0.6940953358839133,0.1311850111178552,-0.1749745756605131,0.15310149597708797,0.8568499627037437,4.276522929500342,2022-03-01
2022-06-01_LumpSum,2022-06-01 00:00:00,2026-06-10 00:00:00,50000.0,87719.36143538443,0.7543872287076887,0.1498937219712062,-0.1641676572794024,0.15182134187759497,0.9873033666904163,4.024640657084189,2022-06-01
2022-06-01_FixedDCA,2022-06-01 00:00:00,2026-06-10 00:00:00,50000.0,90557.37038782642,0.8111474077565284,0.1590271848503202,-0.1640285526378623,0.14036966176456897,1.132917062356708,4.024640657084189,2022-06-01
2022-06-01_SmartDCA,2022-06-01 00:00:00,2026-06-10 00:00:00,50000.0,91032.10605595917,0.8206421211191834,0.1605339335475302,-0.1640621774211457,0.14369418713448295,1.1171915632000269,4.024640657084189,2022-06-01
