,start_date,end_date,start_value,end_value,total_return,CAGR,max_drawdown,annualized_vol,sharpe_simple,years
Core_REAL_SGOV_2020,2020-06-01 00:00:00,2026-06-10 00:00:00,50000.0,114783.25980020547,1.2956651960041095,0.14793955758607868,-0.25048552175565664,0.1571057308634345,0.9416560221770421,6.023271731690623
Core_PROXY_BIL_2015,2015-01-02 00:00:00,2026-06-10 00:00:00,50000.0,169821.53978283983,2.3964307956567965,0.1128440265271966,-0.33110648559566136,0.1666968580053745,0.6769415325366143,11.436002737850787
SPY_BuyHold_2015,2015-01-02 00:00:00,2026-06-10 00:00:00,50000.00000000001,213205.01329633733,3.2641002659267464,0.13520445516075785,-0.3371727297052124,0.1765547159696999,0.76579350723184,11.436002737850787
VTI_BuyHold_2015,2015-01-02 00:00:00,2026-06-10 00:00:00,50000.0,203854.75542739325,3.077095108547865,0.13076145188156296,-0.3500028449220375,0.17982017353326263,0.7271789883873907,11.436002737850787
