Ticker,latest_price,return_1d,return_5d,return_1m,return_3m,return_6m,return_12m,ma50,ma200,above_50ma,above_200ma,drawdown_252d
XLK,183.25,0.00021829204010281877,0.01636160232008055,0.02089136490250687,0.3220769476007377,0.2418473172074973,0.5411401781872494,168.89980102539062,148.17386840820313,True,True,-0.07547553709265153
QQQ,715.622802734375,-0.0020877850192531078,0.01498142741377606,-0.005789432223534563,0.19345276447903648,0.14685295259200837,0.36459436572377224,684.3442553710937,625.1664868164063,True,True,-0.04092576861428776
IWM,292.57000732421875,0.007437772924043351,0.03877157345775717,0.028546299063884506,0.1774483497985231,0.14070334060491607,0.4156871084018885,278.92260101318357,256.4427896118164,True,True,0.0
VTI,365.07989501953125,0.0021408379157172863,0.004677995800200785,-0.006314912671465112,0.11158770447354338,0.08059688495987061,0.25828695591534134,356.9823962402344,337.2885874938965,True,True,-0.02478921544811019
SPY,738.469970703125,0.0009623196271177914,0.001247349908999551,-0.012964984466900309,0.1068064189344331,0.07763663142203847,0.25114804032763094,724.5319982910156,684.5784323120117,True,True,-0.02777892283480765
VEA,71.33000183105469,0.00028052549636536916,0.031227464497449287,0.01091275934103475,0.09604823783350858,0.15701054238020995,0.3101107118622455,69.46779983520508,64.09490674972534,True,True,-0.013689129811215728
XLF,53.279998779296875,0.012542756761862783,0.01873804123388756,0.03879894381454552,0.08628558069052672,-0.020574961221392907,0.08292124605671258,51.68199981689453,52.26001636505127,True,True,-0.05046320660430659
VWO,59.279998779296875,0.0030456905215421326,0.02154058291047134,-0.011340899192106124,0.07742635925282126,0.11031154807473986,0.2595027443403046,58.742799835205076,55.3771791267395,True,True,-0.031214248901427655
^TNX,4.4770002365112305,0.0031369967206893445,-0.013006953560200318,0.0035867005081025027,0.0609005827244149,0.08113993219492732,0.011980210825842441,4.422799978256226,4.212029989957809,True,True,-0.04071128944455982
XLV,153.77000427246094,-0.0020766569734221862,0.004967059622964953,0.04869398589568874,0.0224631047274102,0.009634409601868787,0.14972739602623863,147.64200073242188,148.40528274536132,True,True,-0.036191300151312
XLE,58.119998931884766,0.017507003128492515,0.007803030643787512,0.0008610166578837397,0.010358157756313657,0.2836903645428077,0.36176885230208944,57.815,50.391817283630374,True,True,-0.07097190447476298
SGOV,100.51679992675781,0.0002667137382630358,0.0006650371383289944,0.002947041482617818,0.008861328275755698,0.018283590106889847,0.039126142462458935,100.17724746704101,99.09141521453857,True,True,0.0
BIL,91.5,0.00021859031845883337,0.0005467802452319148,0.0028338020659914864,0.008703059443823769,0.017919685512400862,0.038371048214591585,91.1969125366211,90.22882801055908,True,True,0.0
DX-Y.NYB,99.7300033569336,-0.0013017950392891775,-0.003397585079719101,0.008596340282424952,0.0002006245376051652,0.014031569946344469,0.015787360429210473,98.88260055541993,98.64985019683837,True,True,-0.007760409538541957
TLT,85.70179748535156,-0.003235704358222735,0.007545261523381752,0.01317585195307136,-0.005829027925382202,-0.005981047539018847,0.03800064831690797,85.25338134765624,86.35075336456299,True,False,-0.042171838872875456
CL=F,84.45999908447266,-0.037053928103111256,-0.06715265926192393,-0.16516753372445825,-0.09668450177034593,0.46631946739407293,0.15730330500797907,96.43379989624023,73.57004985809326,False,True,-0.2522354903367079
GLD,386.5400085449219,0.0005694792310315666,-0.024480067455371235,-0.09519904431924497,-0.1604803885634143,-0.017037895066216113,0.22210628885554118,421.0719976806641,407.1216502380371,False,False,-0.22052830550022273
^VIX,19.200000762939453,-0.012345666899427288,-0.10739188476812322,0.11239863895316393,-0.18332621965046114,0.29292931109266407,-0.07780974810904973,18.281200065612794,18.54665008544922,True,True,-0.3816424723121157
